organizacion	archivo_esperado
ACCION POPULAR	assets/logos/accion_popular.png
AHORA NACION - AN	assets/logos/ahora_nacion_an.png
ALIANZA ELECTORAL VENCEREMOS	assets/logos/alianza_electoral_venceremos.png
ALIANZA LIBERTAD MADREDIOSENSE	assets/logos/alianza_libertad_madrediosense.png
ALIANZA PARA EL PROGRESO	assets/logos/alianza_para_el_progreso.png
ALIANZA REGIONAL POR EL PERU	assets/logos/alianza_regional_por_el_peru.png
ALIANZA RENOVACION POPULAR Y TORO	assets/logos/alianza_renovacion_popular_y_toro.png
APP - LA CHOLITA	assets/logos/app_la_cholita.png
APP - TRABAJA AYACUCHO	assets/logos/app_trabaja_ayacucho.png
AREQUIPA, TRADICION Y FUTURO	assets/logos/arequipa_tradicion_y_futuro.png
ASI - JUNTOS POR EL PERU	assets/logos/asi_juntos_por_el_peru.png
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL	assets/logos/avanza_pais_partido_de_integracion_social.png
BATALLA PERU	assets/logos/batalla_peru.png
COALICION TRANSFORMADORA TIERRA VERDE	assets/logos/coalicion_transformadora_tierra_verde.png
CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA	assets/logos/concertacion_para_el_desarrollo_regional_lima.png
COOPERACION, VERDAD Y HONRADEZ	assets/logos/cooperacion_verdad_y_honradez.png
FE EN EL PERU	assets/logos/fe_en_el_peru.png
FRENTE POPULAR AGRICOLA FIA DEL PERU	assets/logos/frente_popular_agricola_fia_del_peru.png
FRENTE REGIONAL TUPAC	assets/logos/frente_regional_tupac.png
FUERZA AREQUIPEÑA	assets/logos/fuerza_arequipena.png
FUERZA CIUDADANA	assets/logos/fuerza_ciudadana.png
FUERZA POPULAR	assets/logos/fuerza_popular.png
JUNTOS POR EL PERU	assets/logos/juntos_por_el_peru.png
KAUSACHUN	assets/logos/kausachun.png
LIBERTAD POPULAR	assets/logos/libertad_popular.png
MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL	assets/logos/movimiento_independiente_fuerza_regional.png
MOVIMIENTO INDEPENDIENTE REGIONAL FUERZA TACNA	assets/logos/movimiento_independiente_regional_fuerza_tacna.png
MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO	assets/logos/movimiento_independiente_regional_huanuco_primero.png
MOVIMIENTO POLITICO REGIONAL CAJAMARCA RENACE	assets/logos/movimiento_politico_regional_cajamarca_renace.png
MOVIMIENTO POLITICO UNIDOS POR EL DESARROLLO DE HUANUCO - UDH	assets/logos/movimiento_politico_unidos_por_el_desarrollo_de_huanuco_udh.png
MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO	assets/logos/movimiento_regional_amazonense_unidos_al_campo.png
MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS	assets/logos/movimiento_regional_arequipa_avancemos.png
MOVIMIENTO REGIONAL VICTORIA AMAZONENSE	assets/logos/movimiento_regional_victoria_amazonense.png
NUEVA ESPERANZA	assets/logos/nueva_esperanza.png
PARTIDO APRISTA PERUANO	assets/logos/partido_aprista_peruano.png
PARTIDO CIVICO OBRAS	assets/logos/partido_civico_obras.png
